"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-AGT02","HRT-AGT02","Pass","1/10/2023 11:08:39 AM"
"CPU","2","2","Pass","1/10/2023 11:08:39 AM"
"MemoryinGB","4","4","Pass","1/10/2023 11:08:39 AM"
"AzureVMType","Standard_F2s_v2 ","Standard_F2s_v2","Fail","1/10/2023 11:08:39 AM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 11:08:39 AM"
"OSDiskInGB","128","128","Pass","1/10/2023 11:08:39 AM"
"DataDiskInGB","NA","NA","Pass","1/10/2023 11:08:39 AM"
"TempDisk","NA","NA","Pass","1/10/2023 11:08:39 AM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 11:08:39 AM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 11:08:39 AM"
"Tag - business-unit","tte",,"Fail","1/10/2023 11:08:39 AM"
"Tag - team","css","css","Pass","1/10/2023 11:08:39 AM"
"Tag - billing","prod","prod","Pass","1/10/2023 11:08:39 AM"
"Tag - environment","NA","NA","Pass","1/10/2023 11:08:39 AM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 11:08:39 AM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 11:08:39 AM"
"Tag - customer | customer-name","12345678",,"Fail","1/10/2023 11:08:39 AM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 11:08:39 AM"
"RGLock","TRUE","True","Pass","1/10/2023 11:08:39 AM"
"IPAddress","172.22.151.72","172.22.151.72","Pass","1/10/2023 11:08:39 AM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 11:08:39 AM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 11:08:39 AM"
"BackupVault","hrtrecoveryvault",,"Fail","1/10/2023 11:08:39 AM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 11:08:39 AM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 11:08:39 AM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 11:08:39 AM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 11:08:39 AM"
