"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-APP01",,"Fail","1/10/2023 10:35:35 AM"
"CPU","2",,"Fail","1/10/2023 10:35:35 AM"
"MemoryinGB","16",,"Fail","1/10/2023 10:35:35 AM"
"AzureVMType","Standard_E2as_v5",,"Fail","1/10/2023 10:35:36 AM"
"ManagedDisk","TRUE",,"Fail","1/10/2023 10:35:36 AM"
"OSDiskInGB","150",,"Fail","1/10/2023 10:35:36 AM"
"DataDiskInGB","NA",,"Fail","1/10/2023 10:35:36 AM"
"TempDisk","NA",,"Fail","1/10/2023 10:35:36 AM"
"Operating System","Windows (Windows Server 2012 R2 Standard)",,"Fail","1/10/2023 10:35:36 AM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 10:35:36 AM"
"Tag - business-unit","tte",,"Fail","1/10/2023 10:35:36 AM"
"Tag - team","css",,"Fail","1/10/2023 10:35:36 AM"
"Tag - billing","prod",,"Fail","1/10/2023 10:35:36 AM"
"Tag - environment","NA",,"Fail","1/10/2023 10:35:36 AM"
"Tag - Primary-contact-email","keith_weitz@trimble.com",,"Fail","1/10/2023 10:35:36 AM"
"Tag - Primary-contact-name","Keith Weitz",,"Fail","1/10/2023 10:35:36 AM"
"Tag - customer | customer-name","12345678",,"Fail","1/10/2023 10:35:36 AM"
"Tag - automation-opt-in","no",,"Fail","1/10/2023 10:35:36 AM"
"RGLock","TRUE",,"Fail","1/10/2023 10:35:36 AM"
"IPAddress","172.22.151.71",,"Fail","1/10/2023 10:35:36 AM"
"GuestLevelMonitoring","TRUE",,"Fail","1/10/2023 10:35:36 AM"
"Storage account","hrtstorageaccount",,"Fail","1/10/2023 10:35:36 AM"
"BackupVault","hrtrecoveryvault",,"Fail","1/10/2023 10:35:36 AM"
"vNet","Vnet-Eastus2-HRT",,"Fail","1/10/2023 10:35:36 AM"
"SubnetName","Subnet-Eastus2-HRT",,"Fail","1/10/2023 10:35:36 AM"
"HybridBenefit","FALSE",,"Fail","1/10/2023 10:35:36 AM"
"ResourceGroup","HRT_Heritage_Transport",,"Fail","1/10/2023 10:35:36 AM"
