"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-DC01","HRT-DC01","Pass","1/10/2023 2:31:19 PM"
"CPU","2","2","Pass","1/10/2023 2:31:19 PM"
"MemoryinGB","8","8","Pass","1/10/2023 2:31:19 PM"
"AzureVMType","Standard D2as v5 ","Standard_D2as_v5","Fail","1/10/2023 2:31:19 PM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 2:31:19 PM"
"OSDiskInGB","128","128","Pass","1/10/2023 2:31:19 PM"
"DataDiskInGB","NA","NA","Pass","1/10/2023 2:31:19 PM"
"TempDisk","NA","NA","Pass","1/10/2023 2:31:19 PM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 2:31:19 PM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 2:31:19 PM"
"Tag - business-unit","tte","tte","Pass","1/10/2023 2:31:19 PM"
"Tag - team","css","css","Pass","1/10/2023 2:31:19 PM"
"Tag - billing","prod","prod","Pass","1/10/2023 2:31:19 PM"
"Tag - environment","NA","NA","Pass","1/10/2023 2:31:19 PM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 2:31:19 PM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 2:31:19 PM"
"Tag - customer | customer-name","12345678","12345678","Pass","1/10/2023 2:31:19 PM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 2:31:19 PM"
"RGLock","TRUE","True","Pass","1/10/2023 2:31:19 PM"
"IPAddress","172.22.151.68","172.22.151.68","Pass","1/10/2023 2:31:19 PM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 2:31:19 PM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 2:31:19 PM"
"BackupVault","hrtrecoveryvault","hrtrecoveryvault","Pass","1/10/2023 2:31:19 PM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 2:31:19 PM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 2:31:19 PM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 2:31:19 PM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 2:31:19 PM"
