"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-SQL01",,"Fail","1/10/2023 10:35:46 AM"
"CPU","4",,"Fail","1/10/2023 10:35:46 AM"
"MemoryinGB","16",,"Fail","1/10/2023 10:35:46 AM"
"AzureVMType","Standard_D4as_v5",,"Fail","1/10/2023 10:35:46 AM"
"ManagedDisk","TRUE",,"Fail","1/10/2023 10:35:46 AM"
"OSDiskInGB","256",,"Fail","1/10/2023 10:35:46 AM"
"DataDiskInGB","1024",,"Fail","1/10/2023 10:35:46 AM"
"TempDisk","NA",,"Fail","1/10/2023 10:35:46 AM"
"Operating System","Windows (Windows Server 2012 R2 Standard)",,"Fail","1/10/2023 10:35:46 AM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 10:35:46 AM"
"Tag - business-unit","tte",,"Fail","1/10/2023 10:35:46 AM"
"Tag - team","css",,"Fail","1/10/2023 10:35:46 AM"
"Tag - billing","prod",,"Fail","1/10/2023 10:35:46 AM"
"Tag - environment","NA",,"Fail","1/10/2023 10:35:46 AM"
"Tag - Primary-contact-email","keith_weitz@trimble.com",,"Fail","1/10/2023 10:35:46 AM"
"Tag - Primary-contact-name","Keith Weitz",,"Fail","1/10/2023 10:35:46 AM"
"Tag - customer | customer-name","12345678",,"Fail","1/10/2023 10:35:46 AM"
"Tag - automation-opt-in","no",,"Fail","1/10/2023 10:35:46 AM"
"RGLock","TRUE",,"Fail","1/10/2023 10:35:46 AM"
"IPAddress","172.22.151.69",,"Fail","1/10/2023 10:35:46 AM"
"GuestLevelMonitoring","TRUE",,"Fail","1/10/2023 10:35:46 AM"
"Storage account","hrtstorageaccount",,"Fail","1/10/2023 10:35:46 AM"
"BackupVault","hrtrecoveryvault",,"Fail","1/10/2023 10:35:46 AM"
"vNet","Vnet-Eastus2-HRT",,"Fail","1/10/2023 10:35:46 AM"
"SubnetName","Subnet-Eastus2-HRT",,"Fail","1/10/2023 10:35:46 AM"
"HybridBenefit","FALSE",,"Fail","1/10/2023 10:35:46 AM"
"ResourceGroup","HRT_Heritage_Transport",,"Fail","1/10/2023 10:35:46 AM"
